name,raDeg,decDeg,magnitude,hip,hd,hr,sao,gaia_dr3,tyc,wikipedia_title
Sirius,101.287155,-16.716116,-1.46,32349,48915,2491,151881,,,Sirius
Canopus,95.987958,-52.695661,-0.74,30438,45348,2326,,,,Canopus
Arcturus,213.915300,19.182409,-0.05,69673,124897,5340,100944,,,Arcturus
Vega,279.234735,38.783689,0.03,91262,172167,7001,67174,,,Vega
Capella,79.172328,45.997991,0.08,24608,34029,1708,40186,,,Capella
Rigel,78.634467,-8.201638,0.13,24436,34085,1713,131907,,,Rigel
Procyon,114.825493,5.224993,0.34,37279,61421,2943,115756,,,Procyon
Achernar,24.428523,-57.236753,0.46,7588,10144,472,,,,Achernar
Betelgeuse,88.792939,7.407064,0.50,27989,39801,2061,113271,,,Betelgeuse
Hadar,210.955856,-60.373039,0.61,68702,122451,5267,,,,Beta Centauri
Altair,297.695827,8.868322,0.76,97649,187642,7557,125122,,,Altair
Acrux,186.649563,-63.099093,0.76,60718,108248,4730,,,,Acrux
Aldebaran,68.980163,16.509302,0.85,21421,29139,1457,94027,,,Aldebaran
Spica,201.298247,-11.161322,0.98,65474,116658,5056,157923,,,Spica
Antares,247.351915,-26.432002,1.06,80763,148478,6134,184415,,,Antares
Pollux,116.328958,28.026199,1.14,37826,62509,2990,79666,,,Pollux
Fomalhaut,344.412693,-29.622237,1.16,113368,216956,8728,191524,,,Fomalhaut
Deneb,310.357980,45.280338,1.25,102098,197345,7924,49941,,,Deneb
Mimosa,191.930263,-59.688764,1.25,62434,111123,4853,,,,Beta Crucis
Regulus,152.092962,11.967209,1.35,49669,87901,3982,98967,,,Regulus
Adhara,104.656453,-28.972086,1.50,33579,52089,2618,172676,,,Epsilon Canis Majoris
Castor,113.649428,31.888276,1.58,36850,60179,2891,60198,,,Castor
Shaula,263.402193,-37.103824,1.62,85927,158926,6527,208954,,,Lambda Scorpii
Gacrux,187.791498,-57.113213,1.63,61084,108903,4763,,,,Gacrux
Bellatrix,81.282764,6.349703,1.64,25336,35468,1790,112740,,,Bellatrix
Elnath,81.572971,28.607450,1.65,25428,35497,1791,77168,,,Beta Tauri
Miaplacidus,138.300958,-69.717208,1.67,45238,80007,3685,,,,Miaplacidus
Alnilam,84.053389,-1.201920,1.69,26311,37128,1903,132346,,,Alnilam
Alnair,332.058272,-46.960975,1.74,109268,209952,8425,,,,Alnair
Alioth,193.507290,55.959821,1.76,62956,112185,4905,28553,,,Alioth
Alnitak,85.189695,-1.942572,1.77,26727,37742,1948,132444,,,Alnitak
Dubhe,165.931965,61.751035,1.79,54061,95689,4301,15384,,,Dubhe
Mirfak,51.080709,49.861180,1.79,15863,20902,1017,38787,,,Mirfak
Wezen,107.097858,-26.393200,1.83,34444,54605,2693,173047,,,Delta Canis Majoris
Sargas,264.329709,-42.997824,1.86,86228,159532,6553,,,,Theta Scorpii
Kaus Australis,276.043109,-34.384616,1.79,90185,169022,6879,209696,,,Epsilon Sagittarii
Avior,125.628475,-59.509483,1.86,41037,71129,3307,,,,Avior
Alkaid,206.885158,49.313267,1.86,67301,120315,5191,44752,,,Eta Ursae Majoris
Menkalinan,89.882179,44.947433,1.90,28360,40183,2088,40750,,,Beta Aurigae
Atria,252.166229,-69.027635,1.91,82273,150798,6217,,,,Alpha Trianguli Australis
Alhena,99.427960,16.399252,1.93,31681,47105,2421,95912,,,Gamma Geminorum
Peacock,306.411904,-56.735090,1.94,100751,193924,7790,,,,Peacock
Polaris,37.954561,89.264109,1.98,11767,8890,424,308,,,Polaris
Mirzam,95.674938,-17.955917,1.98,30324,44743,2294,151428,,,Beta Canis Majoris
Alphard,141.896847,-8.658683,2.00,46390,81797,3748,136871,,,Alphard
Hamal,31.793358,23.462423,2.00,9884,12929,617,75151,,,Hamal
Diphda,10.897379,-17.986605,2.04,3419,4128,188,147420,,,Beta Ceti
Nunki,283.816360,-26.296724,2.05,92855,175191,7121,187448,,,Sigma Sagittarii
Alpheratz,2.096916,29.090431,2.06,677,358,15,73765,,,Alpheratz
Mirach,17.433014,35.620558,2.07,5447,6860,337,54471,,,Beta Andromedae
Kochab,222.676357,74.155505,2.08,72607,131873,5563,8102,,,Beta Ursae Minoris
